Title (internal),URL,Application,Activity,Task,Action,Feedback,Feedforward,∫Handedness,Multi-action,XR,Interface_Element,Interaction_Technique,,,,,
Forever Pets Menu Open,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b28c007d-0b2a-4520-9133-e066ce22c400/public,Forever Pets,System Control,Selection,Controller Pose,Haptic Bump,Text ,Either,,VR,Button / Lever,Raycast Selection,,,,,
Forever Pets Menu Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6d288b4f-c69c-4816-d226-54f2a4976100/public,Forever Pets,System Control ,Selection,Trigger,Highlight,Text ,Either,,VR,Button,Raycast Selection,,,,,
Forever Pets Dialogue Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4f19632e-3618-46a3-aad7-5e4189ed3400/public,Forever Pets,Communication,Selection,Controller Pose ,Audio,Text ,Either,"Sequential, Simultaneous",VR,Button,Contact Selection ,,,,,
Forever Pets Table Reposition ,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/40b10384-eec6-47df-59e1-f833d3cf9300/public,Forever Pets,Manipulation,Rotate (object) ,"Controller Pose, Grip Button",,Guidelines,Either,"Sequential, Simultaneous",VR,"Object, Ruler",Thumbstick Rotation,,,,,
Forever Pets Pet,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a910ba16-4a21-4235-89d9-a83820da3300/public,Forever Pets,,Manipulation,Controller Pose,,,,,,Object,,,,,,
Wizards Normal Attack,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b349deef-9885-4379-07ec-bb567aba6900/public,War of Wizards: Apprentice Edition,Combat,Aim,"Controller Button, Movement","Haptic Bump, Audio",,,,,,Button Selection,,,,,
Wizards Switch Spells,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a9ef1d84-f5e4-4f31-f8ba-56b9e0e2fe00/public,War of Wizards: Apprentice Edition,Configuration,Selection,"Controller Button, Movement",UI Change,,,,,Button,Drag,,,,,
Wizards Spell and Release,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/076e3af2-449d-44b0-8ed0-32b851fa5800/public,War of Wizards: Apprentice Edition,Combat,Draw,"Movement, Trigger, Grip Button",Audio,,,,,,Gesture,,,,,
Wizards Menu Select,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/277f4c54-09fd-4f74-e1dc-748b33cc4300/public,War of Wizards: Apprentice Edition,System Control,Selection,"Controller Button, Movement","Highlight, Audio, Haptic Bump",,,,,Button,Raycast Selection,,,,,
Roblox (Dress to Impress) Walk,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/51054162-e716-4e0a-1513-b954d7906b00/public,Roblox,,Navigation,Thumbstick (left),Vignetting,,,,,,Move (Left) Joystick ,,,,,
Roblox (Dress to Impress) Enter Customization Booth,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6f1f5fc0-03c5-4178-1833-2493503cca00/public,Roblox,,Navigation,[X] Button,UI Change,,,,,,,,,,,
Roblox (Dress to Impress) Color Swatch Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/33f77bc2-afc4-4696-8b79-7d30f9315900/public,Roblox,,Selection,"Controller Pose, Trigger",,,,,,Button,,,,,,
Roblox (Dress to Impress) Scroll Menu Options,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/58d48703-5f24-43c5-735b-4477085afc00/public,Roblox,,Swipe,Thumbstick,,,,,,List,,,,,,
Roblox (Dress to Impress) Makeup Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b37ad218-fe24-447b-6c93-19d9aa54fa00/public,Roblox,,Selection,"Controller Pose, Trigger",,,,,,Button,,,,,,
Roblox (Dress to Impress) Exit Customization Booth,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/1aaeb5e7-980f-4ffb-0044-e819d85e4200/public,Roblox,,Navigation,[A] Button,,,,,,,,,,,,
Roblox (Dress to Impress) Perspective Rotation,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/1a5c25db-bd9c-4cde-f32e-699f59f35800/public,Roblox,,Navigation,Thumbstick (left),Vignetting,,,,,,Move (Right) Joystick L/R,,,,,
Roblox (Dress to Impress) Color Hue + Saturation Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/8ad0b563-e4de-410b-3da8-8ec6b7aed900/public,Roblox,,Selection,"Controller Pose, (holding down) Trigger ",,,,,,Color Panel,,,,,,
Roblox (Dress to Impress) Jump,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/c821cad0-25b7-4b88-3dc8-740be8d4cc00/public,Roblox,,Navigation,[A] Button,,,,,,,,,,,,
Roblox (Dress to Impress) Delete Item from Wearing Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a10d3fcd-7b2a-47d7-e4f8-1e3c74c26a00/public,Roblox,,Selection,"Controller Pose, Trigger",,,,,,Button,,,,,,
Roblox (Dress to Impress) Close Wearing Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/7d798cb2-4a9f-4fda-e7fa-8f91b879d400/public,Roblox,,Selection,"Controller Pose, Trigger",,,,,,Button,,,,,,
Roblox (Dress to Impress) Put on Item,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/57353a43-6a5e-4d37-1314-103f6a3fe100/public,Roblox,,Selection,"Controller Pose, Trigger",Audio,,,,,Object,,,,,,
Roblox (Dress to Impress) Close Color Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/56424530-b1d9-4cc2-6857-abb884133200/public,Roblox,,Selection,"Controller Pose, Trigger",,,,,,Button,,,,,,
Roblox (Dress to Impress) Close Score Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f9c8b717-0c4c-4f66-5884-dbe96b461f00/public,Roblox,,Selection,[B] Button,,,,,,,,,,,,
Alyx Raycast Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/effdd9af-5e31-41b7-2462-caad76319300/public,Half Life: Alyx,,Selection,"Controller Pose, Trigger","Haptic Bump, Audio",,,,,Raycast Pointer,Raycast Selection,,,,,
Alyx Press Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e331d20f-7612-4eb4-7bf8-7cd3796a2000/public,Half Life: Alyx,,Selection,"Controller Pose, Trigger","Haptic Bump, Audio",,,,,Hand,Button Selection,,,,,
VTOL Raycast Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/ebf885e8-97d6-4758-d2ff-af9d12d75400/public,VTOL VR,,Selection,"Controller Pose, Trigger",Haptic Bump,,,,,Raycast Pointer,Raycast Selection,,,,,
VTOL Press Menu,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4c012f26-a86b-4117-effe-2d3653ebf900/public,VTOL VR,,Selection,"Controller Pose, Trigger",Haptic Bump,,,,,"Raycast Pointer, Button",Raycast Selection,,,,,
Archery Pro Bow Draw and Release (trim this one to just be release),https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/1963243c-9fa9-4773-734c-0bdd19bacc00/public,Archery Pro,,Manipulation - Shooting a Bow and Arrow,Trigger,Audio,,,,,,,This one's previous action is important context,Do we need to understand full contex to understand a task? Task/Metatask,Do we need to understand feedback/prefeedback? How granular should this be? Temporal aspect such as before during and after?,What about actions that are done at the same time?,"What about UI Elements that are not in the capture? e.g. feedback out of the frame, audio"
Archery Pro Reset Dropped Bow,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/5093509b-051b-4b79-69b2-30c6e1f1f700/public,Archery Pro,,Manipulation,[B] Button,[B] Button,,,,,,,Task can be aggregated together into categories,Task / Activity -- just mention that they have the same activity,Feedback/Feedforward,,"This is ""detached feedback"""
Detective VR Locomotion,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/9b724e37-2b2c-4462-e8b6-18990878bf00/public,Detective VR Demo,,Navigation,"Movement, Trigger",Highlighting,,,,,Raycast Pointer,Raycast Selection,,,,,
Detective VR Picture String,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d3e26a1c-9912-4d0e-7ed0-f0411f5f9100/public,Detective VR Demo,,Manipulation,"Controller Pose, Grip Button","Haptic Bump, Audio",,,,,Object,Drag,,,,,
Detective VR Pinch Camera,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/35a16590-11a8-4cf5-3852-96708c1fdc00/public,Detective VR Demo,,Manipulation,"Controller Pose, Trigger","Haptic Bump, Audio, UI Change",,,,,"Hand, Frame",Gesture,,,,,
Detective VR Picture Placement,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e26609fc-4d7c-4e2e-4576-158f66bc7300/public,Detective VR Demo,,Manipulation,"Movement, Trigger","Haptic Bump, Audio",,,,,Object,Grab and Place,,,,,
Detective VR Clue Movement,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b7d7b487-e908-4ee1-be77-a90557160500/public,Detective VR Demo,,Manipulation,"Movement, Trigger",Haptic Bump,,,,,Object,Grab and Place,,,,,
